         55880329 function calls (55871021 primitive calls) in 89.639 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      666    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       47    0.000    0.000    0.001    0.000 agents.py:344(move_to)
  684/668    0.000    0.000    0.007    0.000 {built-in method builtins.any}
      296    0.000    0.000    0.001    0.000 os.py:670(__getitem__)
     2076    0.000    0.000    0.000    0.000 _utils.py:13(is_used)
       58    0.000    0.000    0.002    0.000 values.py:593(__init__)
      174    0.000    0.000    0.001    0.000 values.py:729(__init__)
      411    0.000    0.000    0.002    0.000 uuid.py:778(uuid4)
      184    0.000    0.000    0.010    0.000 initialise.py:74(wrap_stream)
3901/3897    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      527    0.000    0.000    0.000    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
  773/599    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      184    0.000    0.000    0.001    0.000 ansitowin32.py:43(isatty)
        5    0.000    0.000    0.000    0.000 graph_abs.py:151(<listcomp>)
       64    0.000    0.000    0.001    0.000 npydecl.py:24(_handle_inputs)
  305/142    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      632    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
      392    0.000    0.000    0.000    0.000 values.py:538(__iter__)
     3658    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      278    0.000    0.000    0.000    0.000 values.py:120(__init__)
      146    0.000    0.000    0.001    0.000 builder.py:748(store)
      100    0.000    0.000    0.003    0.000 builder.py:284(if_then)
      204    0.000    0.000    0.000    0.000 agents.py:36(hire)
       60    0.000    0.000    0.023    0.000 lowering.py:321(lower_inst)
        3    0.000    0.000    0.000    0.000 {built-in method nt.stat}
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       22    0.000    0.000    0.000    0.000 analysis.py:118(compute_dead_maps)
      198    0.000    0.000    0.001    0.000 agents.py:55(demand)
      184    0.000    0.000    0.001    0.000 _collections_abc.py:664(__contains__)
      142    0.000    0.000    0.001    0.000 builder.py:735(load)
     2145    0.000    0.000    0.000    0.000 abstract.py:96(key)
       10    0.000    0.000    0.015    0.002 lowering.py:562(lower_binop)
      100    0.000    0.000    0.007    0.000 graph_abs.py:61(create_house)
       62    0.000    0.000    0.003    0.000 cgutils.py:362(alloca_once)
     1020    0.000    0.000    0.000    0.000 util.py:58(lunch_time)
      438    0.000    0.000    0.001    0.000 contextlib.py:238(helper)
      132    0.000    0.000    0.001    0.000 numpy_support.py:379(choose_types)
  438/310    0.000    0.000    0.004    0.000 contextlib.py:108(__enter__)
       10    0.000    0.000    0.000    0.000 compiler_machinery.py:343(dependency_analysis)
     1772    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       56    0.000    0.000    0.006    0.000 typeof.py:23(typeof)
      368    0.000    0.000    0.000    0.000 values.py:250(function_type)
      614    0.000    0.000    0.004    0.000 ir.py:346(list_vars)
      222    0.000    0.000    0.004    0.000 fromnumeric.py:52(_wrapfunc)
      444    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
      146    0.000    0.000    0.001    0.000 instructions.py:418(descr)
      108    0.000    0.000    0.000    0.000 functions.py:77(add_error)
      100    0.000    0.000    0.001    0.000 agents.py:176(__init__)
       90    0.000    0.000    0.001    0.000 context.py:197(_call_incref_decref)
      977    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1020    0.000    0.000    0.000    0.000 util.py:42(day_of_month)
      122    0.000    0.000    0.000    0.000 types.py:77(__call__)
      196    0.000    0.000    0.000    0.000 typeinfer.py:896(__getitem__)
       24    0.000    0.000    0.009    0.000 typeinfer.py:568(resolve)
       26    0.000    0.000    0.001    0.000 packer.py:73(__init__)
      174    0.000    0.000    0.000    0.000 values.py:683(__init__)
      356    0.000    0.000    0.001    0.000 manager.py:22(lookup)
        2    0.000    0.000    0.024    0.012 lowering.py:220(lower_block)
      256    0.000    0.000    0.000    0.000 ffi.py:257(close)
       92    0.000    0.000    0.010    0.000 initialise.py:23(init)
      203    0.000    0.000    0.000    0.000 agents.py:217(supply)
      222    0.000    0.000    0.004    0.000 fromnumeric.py:2033(clip)
       54    0.000    0.000    0.001    0.000 analysis.py:235(compute_cfg_from_blocks)
      400    0.000    0.000    0.000    0.000 misc.py:47(unliteral)
      128    0.000    0.000    0.008    0.000 values.py:797(descr)
     1366    0.000    0.000    0.000    0.000 builder.py:182(block)
      296    0.000    0.000    0.000    0.000 os.py:740(encodekey)
      100    0.000    0.000    0.000    0.000 agents.py:227(accounting)
      444    0.000    0.000    0.000    0.000 _methods.py:82(_clip_dep_is_byte_swapped)
   118/88    0.000    0.000    0.000    0.000 pprint.py:502(_safe_repr)
      448    0.000    0.000    0.002    0.000 ir.py:577(list_vars)
      128    0.000    0.000    0.007    0.000 values.py:799(<listcomp>)
      174    0.000    0.000    0.000    0.000 values.py:716(_to_list)
      756    0.000    0.000    0.000    0.000 ffi.py:55(__getattr__)
        6    0.000    0.000    0.000    0.000 __init__.py:47(create_string_buffer)
       22    0.000    0.000    0.008    0.000 postproc.py:68(run)
      108    0.000    0.000    0.001    0.000 instructions.py:166(descr)
      411    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
      688    0.000    0.000    0.000    0.000 _utils.py:71(_stringify_metadata)
       60    0.000    0.000    0.006    0.000 npydecl.py:171(generic)
       48    0.000    0.000    0.006    0.000 context.py:360(resolve_value_type)
      112    0.000    0.000    0.006    0.000 templates.py:343(apply)
       14    0.000    0.000    0.000    0.000 inspect.py:2112(_signature_from_function)
      142    0.000    0.000    0.000    0.000 instructions.py:398(descr)
       58    0.000    0.000    0.002    0.000 values.py:631(descr_prototype)
       90    0.000    0.000    0.001    0.000 context.py:180(get_meminfos)
       80    0.000    0.000    0.002    0.000 builder.py:854(call)
       32    0.000    0.000    0.001    0.000 module.py:45(add_metadata)
      666    0.000    0.000    0.001    0.000 _asarray.py:14(asarray)
       36    0.000    0.000    0.000    0.000 ir.py:558(__repr__)
      374    0.000    0.000    0.000    0.000 types.py:30(__ne__)
      232    0.000    0.000    0.000    0.000 errors.py:725(new_error_context)
        6    0.000    0.000    0.003    0.001 codegen.py:127(_optimize_functions)
       32    0.000    0.000    0.001    0.000 instructions.py:176(set_weights)
       70    0.000    0.000    0.000    0.000 instructions.py:324(descr)
