         20998046 function calls (20938228 primitive calls) in 12.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      668    0.001    0.000    0.004    0.000 ansitowin32.py:43(isatty)
     2240    0.001    0.000    0.004    0.000 contextlib.py:238(helper)
      732    0.001    0.000    0.002    0.000 functions.py:77(add_error)
1987/1977    0.001    0.000    0.002    0.000 values.py:130(_get_reference)
       66    0.001    0.000    0.006    0.000 context.py:578(resolve_overload)
     2671    0.001    0.000    0.002    0.000 types.py:30(__ne__)
     9184    0.001    0.000    0.001    0.000 abstract.py:96(key)
    88/44    0.001    0.000    0.676    0.015 compiler_machinery.py:259(_runPass)
     1894    0.001    0.000    0.001    0.000 values.py:250(function_type)
     1380    0.001    0.000    0.001    0.000 values.py:538(__iter__)
      411    0.001    0.000    0.001    0.000 uuid.py:130(__init__)
      993    0.001    0.000    0.006    0.000 instructions.py:414(__init__)
     1580    0.001    0.000    0.001    0.000 errors.py:725(new_error_context)
     1166    0.001    0.000    0.001    0.000 controlflow.py:381(_dfs)
      959    0.001    0.000    0.006    0.000 instructions.py:393(__init__)
     4440    0.001    0.000    0.001    0.000 util.py:13(check_time)
     7778    0.001    0.000    0.001    0.000 builder.py:182(block)
        8    0.001    0.000    0.034    0.004 registry.py:54(apply)
     1380    0.001    0.000    0.001    0.000 values.py:527(__init__)
     1354    0.001    0.000    0.001    0.000 {built-in method _functools.reduce}
      444    0.001    0.000    0.002    0.000 _methods.py:72(_clip_dep_is_scalar_nan)
      872    0.001    0.000    0.002    0.000 typeconv.py:43(check_compatible)
     1893    0.001    0.000    0.001    0.000 ir.py:1216(find_insts)
  514/504    0.001    0.000    0.006    0.000 abstract.py:60(__call__)
     5204    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1262    0.001    0.000    0.003    0.000 ssa.py:177(_run_ssa_block_pass)
      159    0.001    0.000    0.008    0.000 cgutils.py:99(__init__)
     1102    0.001    0.000    0.001    0.000 typeinfer.py:896(__getitem__)
     4574    0.001    0.000    0.001    0.000 _utils.py:71(_stringify_metadata)
       12    0.001    0.000    0.001    0.000 controlflow.py:503(_find_dominators_internal)
  639/466    0.001    0.000    0.001    0.000 pprint.py:502(_safe_repr)
      488    0.001    0.000    0.005    0.000 builder.py:942(extract_value)
   123/69    0.001    0.000    0.249    0.004 typeinfer.py:568(resolve)
     2199    0.001    0.000    0.011    0.000 ir.py:577(list_vars)
      222    0.001    0.000    0.001    0.000 {method 'randn' of 'numpy.random.mtrand.RandomState' objects}
1131/1073    0.001    0.000    0.003    0.000 context.py:503(can_convert)
     2400    0.001    0.000    0.001    0.000 util.py:50(bed_time)
     1035    0.001    0.000    0.004    0.000 cgutils.py:158(__setattr__)
      488    0.001    0.000    0.002    0.000 instructions.py:638(descr)
      268    0.001    0.000    0.010    0.000 builder.py:284(if_then)
      426    0.001    0.000    0.009    0.000 builder.py:854(call)
      379    0.001    0.000    0.004    0.000 instructions.py:514(descr)
     5256    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
        1    0.001    0.001   12.864   12.864 no_graphics.py:44(execute_simulation)
      225    0.001    0.000    0.002    0.000 interpreter.py:395(store)
      630    0.001    0.000    0.003    0.000 builder.py:268(goto_entry_block)
      318    0.001    0.000    0.001    0.000 numpy_support.py:119(as_dtype)
     8140    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
