         64548025 function calls (64512997 primitive calls) in 110.192 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      411    0.001    0.000    0.003    0.000 agents.py:44(__init__)
     4440    0.001    0.000    0.001    0.000 util.py:13(check_time)
     9180    0.001    0.000    0.001    0.000 graph_abs.py:235(<lambda>)
     2882    0.001    0.000    0.001    0.000 blocks.py:311(shape)
      660    0.001    0.000    0.002    0.000 agents.py:147(update)
     5764    0.001    0.000    0.001    0.000 blocks.py:233(mgr_locs)
     2882    0.001    0.000    0.001    0.000 inference.py:295(is_named_tuple)
      300    0.001    0.000    0.001    0.000 {method 'beta' of 'numpy.random.mtrand.RandomState' objects}
      411    0.001    0.000    0.001    0.000 uuid.py:130(__init__)
     2882    0.001    0.000    0.001    0.000 managers.py:216(ndim)
      444    0.001    0.000    0.002    0.000 _methods.py:72(_clip_dep_is_scalar_nan)
      825    0.001    0.000    0.001    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
     2460    0.001    0.000    0.001    0.000 util.py:25(new_day)
     1020    0.001    0.000    0.001    0.000 util.py:37(work_day)
     1441    0.001    0.000    0.001    0.000 no_graphics.py:24(<listcomp>)
     1441    0.001    0.000    0.001    0.000 no_graphics.py:28(<listcomp>)
     2882    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_iterator}
      222    0.001    0.000    0.001    0.000 {method 'randn' of 'numpy.random.mtrand.RandomState' objects}
     1020    0.001    0.000    0.001    0.000 util.py:46(new_month)
      300    0.001    0.000    0.003    0.000 agents.py:261(__init__)
     2882    0.001    0.000    0.001    0.000 blocks.py:315(dtype)
     2882    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
     2882    0.001    0.000    0.001    0.000 numeric.py:81(_validate_dtype)
      111    0.001    0.000    0.006    0.000 abs.py:97(random_position)
     2882    0.001    0.000    0.001    0.000 managers.py:259(items)
     2882    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      222    0.001    0.000    0.001    0.000 _methods.py:87(_clip_dep_invoke_with_casting)
      222    0.001    0.000    0.004    0.000 fromnumeric.py:39(_wrapit)
     2882    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     5033    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      222    0.000    0.000    0.003    0.000 _methods.py:106(_clip)
      411    0.000    0.000    0.002    0.000 uuid.py:778(uuid4)
     1020    0.000    0.000    0.000    0.000 util.py:33(day_of_week)
     1020    0.000    0.000    0.001    0.000 util.py:54(work_time)
      444    0.000    0.000    0.001    0.000 fromnumeric.py:3075(ndim)
     1020    0.000    0.000    0.001    0.000 util.py:62(free_time)
        6    0.000    0.000    0.001    0.000 graph_abs.py:44(<listcomp>)
      222    0.000    0.000    0.001    0.000 agents.py:55(demand)
      205    0.000    0.000    0.000    0.000 agents.py:36(hire)
      100    0.000    0.000    0.007    0.000 graph_abs.py:61(create_house)
     1800    0.000    0.000    0.000    0.000 agents.py:273(is_unemployed)
      100    0.000    0.000    0.001    0.000 agents.py:176(__init__)
     1020    0.000    0.000    0.000    0.000 util.py:58(lunch_time)
     1020    0.000    0.000    0.000    0.000 util.py:42(day_of_month)
      222    0.000    0.000    0.004    0.000 fromnumeric.py:52(_wrapfunc)
      444    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
     1500    0.000    0.000    0.000    0.000 graph_abs.py:155(<lambda>)
      222    0.000    0.000    0.000    0.000 agents.py:217(supply)
      411    0.000    0.000    0.000    0.000 {built-in method nt.urandom}
      222    0.000    0.000    0.004    0.000 fromnumeric.py:2033(clip)
      100    0.000    0.000    0.000    0.000 agents.py:227(accounting)
      444    0.000    0.000    0.000    0.000 _methods.py:82(_clip_dep_is_byte_swapped)
      222    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(clip)
        5    0.000    0.000    0.000    0.000 graph_abs.py:151(<listcomp>)
      500    0.000    0.000    0.000    0.000 graph_abs.py:130(<lambda>)
      222    0.000    0.000    0.003    0.000 {method 'clip' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.001    0.000 agents.py:115(accounting)
      111    0.000    0.000    0.003    0.000 abs.py:51(_xclip)
      111    0.000    0.000    0.002    0.000 abs.py:54(_yclip)
      222    0.000    0.000    0.000    0.000 agents.py:286(supply)
      411    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      411    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       11    0.000    0.000    0.000    0.000 agents.py:18(__init__)
        5    0.000    0.000    0.000    0.000 graph_abs.py:130(<listcomp>)
      411    0.000    0.000    0.000    0.000 uuid.py:262(__int__)
      444    0.000    0.000    0.000    0.000 fromnumeric.py:3071(_ndim_dispatcher)
        1    0.000    0.000    0.000    0.000 graph_abs.py:48(<listcomp>)
        1    0.000    0.000  110.192  110.192 {built-in method builtins.exec}
      222    0.000    0.000    0.000    0.000 fromnumeric.py:2029(_clip_dispatcher)
      300    0.000    0.000    0.000    0.000 agents.py:276(is_homeless)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        9    0.000    0.000    0.001    0.000 graph_abs.py:51(create_business)
        9    0.000    0.000    0.000    0.000 agents.py:108(taxes)
       45    0.000    0.000    0.000    0.000 graph_abs.py:146(<lambda>)
        5    0.000    0.000    0.000    0.000 graph_abs.py:140(<listcomp>)
        1    0.000    0.000    0.000    0.000 agents.py:44(fire)
        6    0.000    0.000    0.001    0.000 graph_abs.py:43(get_unemployed)
        1    0.000    0.000    0.000    0.000 graph_abs.py:47(get_homeless)
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
